"accession_name","DM_gravity","plant_type","yield_ha","index","selected"
"SM2775-4_is_Bellotti",34.72,2.04,17.8,46.7811517423016,TRUE
"GM8873-2",34.51,1.86,15.57,40.3336556000802,TRUE
"SMB2446-2_is_Caiseli",35.02,1.68,12.46,33.6126713665341,TRUE
"SM643-17",34.38,1.74,13.03,32.6891080874201,TRUE
"SM3640-20",34.32,2.62,14.85,31.2011598168599,TRUE
"GM1406-13",33.91,2.58,15.09,30.8421750921656,TRUE
"BRA1016",32.33,2.62,16.8,30.4089079901593,TRUE
"SM3638-18",33.19,1.85,13.68,29.668720406762,TRUE
"TAI8_is_TAI",32.89,2.4,15.37,29.582212435692,TRUE
"CR52A4",32.68,3.37,17.61,28.1830359052792,TRUE
"GM9109-5",37.28,2.76,10.87,27.7814731325316,TRUE
"AR35-1",32.8,2.57,15.31,27.6954992097884,TRUE
"TME287",31.41,1.96,15.08,26.9651868886282,TRUE
"SM2828-28",34.67,3.12,14.06,25.860837013038,TRUE
"SM3641-2",34.49,2.77,13.21,25.3251855807447,TRUE
"COL1516",32.25,3.01,15.68,23.3750009568233,TRUE
"SM3386-49",33.33,2.84,13.97,23.0878251265738,TRUE
"CG1141-1_is_Costena",32.34,2.12,12.95,22.1286647689561,TRUE
"GM8868-59",34.54,1.95,10.09,22.1187913072105,TRUE
"SM4794-8",32.75,3.15,15.05,21.9919808574374,TRUE
"GM8659-35",32.98,2.11,12.16,21.941483937369,TRUE
"SM3387-40",34.22,1.98,10.43,21.8335835269071,TRUE
"SM1127-8_is_Cubana",32.58,2.29,12.86,21.3151647882498,TRUE
"SM3553-27",33.36,2.84,13.23,20.8184246801927,FALSE
"CM9456-12",33.54,1.58,9.79,20.604562383427,FALSE
"CM4919-1_is_Veronica",31.92,2.43,13.51,19.9304379562519,FALSE
"AR42-3",32.45,2.67,13.49,19.8032056993348,FALSE
"SM4708-36",32.32,3.22,14.84,19.2276334592036,FALSE
"SM4707-10",32.42,3.29,14.3,17.2821729583208,FALSE
"GM8716-1",32.59,2.63,12.43,17.2198674608732,FALSE
"CR61A-1",32.67,3.08,13.35,16.8169500153471,FALSE
"CR24-16",31.81,2.53,12.64,15.938621112422,FALSE
"SM4716-23",33.38,2.99,11.08,12.7735263585738,FALSE
"SM4534-37",30.72,3.39,14.83,12.1499732823282,FALSE
"COL1736",34.18,3.19,10.33,11.5831214845154,FALSE
"AR40-19",31.28,2.24,10.67,10.0815387718517,FALSE
"SM4840-24",31.21,3.2,12.89,9.1952059555597,FALSE
"GM3426-5",30.48,2,10.58,8.89873818898707,FALSE
"SM4709-12",32.12,3.81,12.81,7.22915469280263,FALSE
"IND102",30.25,2.94,12.62,7.02926372251062,FALSE
"PTR19",29.95,1.77,9.87,6.60146403380132,FALSE
"CR25-4",33.12,3.48,10.55,6.18695450840088,FALSE
"COL2215_is_Venezolana",33.1,3.18,9.61,5.52495839483513,FALSE
"CR60B10",31.42,3.05,10.77,4.34667629406043,FALSE
"GM10057-19",32.5,2.91,9.02,3.68841390741428,FALSE
"AR17-18",30.82,3.08,11.25,3.51860393545099,FALSE
"SM4772-1",32.05,3.68,11.26,3.05646751950497,FALSE
"CG489-34",28.64,2.42,11.57,2.1587038960432,FALSE
"ARG73",31.7,3.68,11.35,2.10499992323063,FALSE
"CR13-8",30.46,3.38,11.85,1.74232534772951,FALSE
"SM4844-10",32.31,3.69,10.2,0.49396288347856,FALSE
"BRA334",31.2,2.47,8.31,0.36092957659718,FALSE
"SM4376-3",28.79,2.62,11.17,-0.211661475395986,FALSE
"SM4848-17",29.7,3.28,11.76,-0.431170762751138,FALSE
"SM4830-1",32.46,3.16,8.41,-0.433954840539836,FALSE
"GM11901-10",31.21,3.53,10.61,-0.793944365285134,FALSE
"GM4034-1_is_Reina_wx",31.65,3.22,9.32,-0.868453850592614,FALSE
"GM10057-15",30.59,3.12,10.05,-1.47259993159799,FALSE
"SM4834-11",29,3.48,12.61,-1.80091000095868,FALSE
"AR40-3",31.14,2.72,8.23,-2.13078963426721,FALSE
"SM4715-20",29.67,3.69,12.17,-2.53769259612416,FALSE
"SM4838-12",31.85,3.44,9.09,-2.67762399633864,FALSE
"SM4569-17",28.7,2.31,9.7,-2.74237909840561,FALSE
"CR63",29.1,2.9,10.46,-3.65733616933399,FALSE
"COL1468",25.85,3.5,15.49,-3.88029986135954,FALSE
"PER368",29.95,2.36,8.06,-3.98191550204868,FALSE
"MEX6",28.45,2.36,9.67,-4.12914552815173,FALSE
"GM11933-1",33.17,3.63,7.56,-4.4483876400601,FALSE
"HMC1P12_is_HMC1",28.97,3.66,12.27,-4.45479328882954,FALSE
"GM8560-13",29.96,2.79,8.58,-5.75530832768201,FALSE
"SM4744-21",32.47,3.73,8.16,-5.81183798204636,FALSE
"SM4754-27",30.99,3.63,9.52,-5.88189873257446,FALSE
"COL1667",29.24,2.98,9.77,-6.02349071693838,FALSE
"SM4471-64",29.51,2.92,9.29,-6.12227541345239,FALSE
"SM4708-4",30.12,3.47,9.98,-6.1941599285404,FALSE
