accession_name,DM_gravity,plant_type,yield_ha,index,selected
SM3464-29,33.27,1.34,55.55,49.89718179,TRUE
SM2775-4_is_Bellotti,36.28,1.41,44.57,46.7378388,TRUE
SM1411-5_is_Sinuana,34.18,1.95,47.71,40.59574298,TRUE
GM9124-12,37.56,1.85,35.05,37.95743015,TRUE
GM9108-5,35.81,2,40.81,37.8923894,TRUE
SM2792-31_Melua31,33.27,1.86,44.8,36.08337735,TRUE
SM1427-1,33.8,2.33,45.98,35.35815063,TRUE
GM8868-85,37.03,1.65,31.31,34.39109248,TRUE
CM9962-27,32.5,1.96,45.78,34.33969469,TRUE
SM1511-6,34,2.55,45.43,33.84325451,TRUE
GM8871-26,36.37,1.63,31.53,33.03003736,TRUE
CM9912-167,33.97,1.9,39.91,32.95835956,TRUE
TAI8_is_TAI,32.62,1.6,41.23,32.77988266,TRUE
SM3134-73,35.32,1.9,32.54,29.42507251,TRUE
CM4919-1_is_Veronica,33.16,1.92,37.33,28.26536684,TRUE
CM3555-6_is_Sucrena,31.17,1.72,40.69,27.69024122,TRUE
SMB2446-2_is_Caiseli,35.4,1.18,24.52,26.92110793,TRUE
SM2828-28,36.38,2.83,32.73,25.97423915,TRUE
SM1433-4,33.97,2.94,39.95,25.86748431,TRUE
CM9460-40,31.88,1.89,37.76,25.56868354,TRUE
SM3106-14,33.98,2.13,32.98,24.80040634,TRUE
GM9125-5,36.11,2.51,29.34,24.23698879,TRUE
VEN25,31.99,2.2,36.4,22.43168487,TRUE
GM8716-1,31.95,2.09,33.66,20.46982634,TRUE
TME3,31.36,1.99,34.18,20.12432509,TRUE
Chocoana,30.33,2.24,38.47,19.83543909,TRUE
SM2973-42,30.35,2.54,40.44,19.70899147,TRUE
CG1141-1_is_Costena,32.88,1.83,28.38,19.62459823,TRUE
SM3110-15,34.37,3.41,34.55,18.53232813,FALSE
SM3137-40,35.58,3.1,28.76,18.26816081,FALSE
SM1565-17,27.71,2.75,47.51,18.17856236,FALSE
GM971-2,31.47,2.64,35.95,17.64090214,FALSE
CM523-7_is_Catumare,33.25,3.05,32.81,16.44284458,FALSE
SM2081-34,30.85,2.11,32.48,16.36118303,FALSE
SM1669-5,32.17,2.23,29.74,16.34203459,FALSE
SM1521-10,30.67,2,31.43,15.64832674,FALSE
GM4034-1_is_Reina_wx,32.43,3.06,34.23,15.60621512,FALSE
PAN70,28.85,1.67,33.66,15.32687436,FALSE
SM805-15,32.52,3.22,33.13,13.69357468,FALSE
SM4517-33,33.79,3.87,33.83,13.19176072,FALSE
SM3139-22,34.99,3.66,28.67,12.81689067,FALSE
SM2192-6,32.54,2.49,26.74,12.6569739,FALSE
FALSAREINA,30.47,2.85,34.91,12.62209581,FALSE
SM3150-17,33.55,3.44,28.33,10.27444978,FALSE
SM4524-28,31.29,3.84,37.26,10.19831096,FALSE
CM9067-2,31.96,2.82,27.08,9.218161503,FALSE
SM3134-5,34.42,3.81,27.18,8.893058822,FALSE
CUB46,29.13,1.93,27.97,8.844209449,FALSE
SM4534-37,30.76,2.98,30.99,8.743993651,FALSE
SM3677-74,29.73,2.3,26.86,6.802267168,FALSE
GM3937-67,29.54,3.2,33.17,6.157359982,FALSE
GM7671-5,30.79,3.19,29.54,5.999650105,FALSE
GM7671-8,28.55,3.02,34.16,5.773259455,FALSE
KU50,32.27,3.43,25.72,4.542263863,FALSE
MEX2,26.63,1.89,29.38,3.993393218,FALSE
GM7671-12,29.73,2.32,23.7,3.652353776,FALSE
GM10048-1,29.79,2.92,27.7,3.508418601,FALSE
MAL3,27.87,2.37,28.93,3.482829959,FALSE
IND135,29.83,2.71,25.7,3.144593839,FALSE
PER597,29.22,2.13,23.09,3.05343691,FALSE
GM6127-15,30.68,2.32,20.21,2.783254669,FALSE
GM4883-3,31.5,3.67,26.76,1.896111874,FALSE
GM10062-1,28.86,2.86,27.77,1.579854546,FALSE
